sex,age,height,weight,duration,heart_rate,body_temp,calorie_burn_rate,calories
male,54,166.0,70.0,18.0,99.0,40.4,5.888888888888889,106.0
male,45,194.0,103.0,14.0,85.0,39.9,4.071428571428571,57.0
male,46,182.0,82.0,2.0,79.0,38.5,2.5,5.0
male,67,187.0,89.0,20.0,100.0,40.6,7.05,141.0
female,77,171.0,68.0,21.0,101.0,40.6,6.333333333333333,133.0
male,54,180.0,79.0,19.0,105.0,40.3,6.947368421052632,132.0
female,46,168.0,70.0,5.0,77.0,39.1,3.2,16.0
male,47,192.0,101.0,18.0,99.0,40.6,6.222222222222222,112.0
female,35,169.0,69.0,21.0,99.0,40.5,5.380952380952381,113.0
male,21,199.0,99.0,20.0,108.0,40.3,6.25,125.0
male,35,180.0,84.0,23.0,106.0,40.6,6.304347826086956,145.0
female,28,173.0,65.0,10.0,96.0,40.0,5.0,50.0
female,35,167.0,65.0,8.0,97.0,39.6,5.25,42.0
female,21,159.0,62.0,21.0,95.0,40.4,4.809523809523809,101.0
female,74,168.0,69.0,5.0,85.0,39.4,4.6,23.0
male,63,175.0,78.0,26.0,105.0,41.0,7.384615384615385,192.0
male,63,189.0,89.0,7.0,90.0,39.4,5.428571428571429,38.0
male,49,196.0,100.0,22.0,99.0,40.6,6.2727272727272725,138.0
male,22,199.0,97.0,24.0,104.0,40.6,5.666666666666667,136.0
male,33,175.0,81.0,21.0,102.0,40.6,5.571428571428571,117.0
female,78,170.0,67.0,9.0,94.0,40.0,5.666666666666667,51.0
female,53,165.0,67.0,21.0,104.0,40.8,6.238095238095238,131.0
female,29,166.0,65.0,11.0,84.0,40.0,3.727272727272727,41.0
female,30,161.0,54.0,5.0,80.0,39.2,3.4,17.0
female,52,149.0,47.0,8.0,83.0,40.1,4.25,34.0
male,24,195.0,97.0,9.0,83.0,39.3,2.5555555555555554,23.0
female,24,170.0,64.0,8.0,90.0,39.6,4.25,34.0
female,39,165.0,65.0,19.0,106.0,40.6,6.2631578947368425,119.0
female,30,173.0,68.0,27.0,100.0,41.0,5.407407407407407,146.0
male,24,179.0,74.0,12.0,93.0,40.3,3.5833333333333335,43.0
male,24,171.0,76.0,16.0,95.0,40.2,3.9375,63.0
female,42,158.0,60.0,24.0,99.0,40.7,5.625,135.0
male,53,170.0,78.0,16.0,94.0,40.7,5.25,84.0
male,42,191.0,89.0,26.0,98.0,40.3,5.538461538461538,144.0
male,38,181.0,81.0,20.0,101.0,40.3,5.65,113.0
female,71,180.0,76.0,13.0,89.0,40.3,4.846153846153846,63.0
male,71,181.0,84.0,15.0,99.0,39.9,7.0,105.0
male,56,192.0,101.0,18.0,96.0,40.3,6.166666666666667,111.0
female,38,155.0,59.0,28.0,115.0,40.4,7.285714285714286,204.0
female,67,147.0,49.0,7.0,86.0,39.5,4.857142857142857,34.0
female,24,165.0,65.0,6.0,94.0,39.5,4.666666666666667,28.0
male,59,181.0,84.0,12.0,95.0,40.0,5.833333333333333,70.0
female,54,153.0,51.0,8.0,87.0,39.5,4.625,37.0
female,27,170.0,66.0,21.0,113.0,40.5,6.761904761904762,142.0
male,71,191.0,91.0,12.0,87.0,39.8,5.333333333333333,64.0
female,67,166.0,64.0,17.0,90.0,40.3,5.0588235294117645,86.0
female,26,169.0,70.0,19.0,99.0,40.6,5.2105263157894735,99.0
male,64,204.0,105.0,19.0,105.0,40.5,8.0,152.0
male,25,179.0,78.0,6.0,97.0,39.3,4.333333333333333,26.0
female,26,163.0,65.0,14.0,92.0,40.2,4.5,63.0
female,21,171.0,62.0,19.0,100.0,40.1,5.315789473684211,101.0
female,22,153.0,56.0,7.0,92.0,39.5,4.571428571428571,32.0
male,27,193.0,92.0,21.0,97.0,40.6,4.761904761904762,100.0
male,27,207.0,100.0,8.0,88.0,39.7,3.5,28.0
female,42,174.0,67.0,10.0,88.0,39.6,4.4,44.0
female,65,172.0,71.0,17.0,94.0,40.5,5.352941176470588,91.0
female,24,164.0,65.0,14.0,98.0,40.4,5.142857142857143,72.0
male,54,188.0,90.0,23.0,108.0,40.9,7.6521739130434785,176.0
male,29,186.0,93.0,25.0,101.0,40.7,5.48,137.0
male,27,185.0,85.0,17.0,108.0,40.4,6.235294117647059,106.0
female,67,167.0,65.0,22.0,104.0,40.6,6.545454545454546,144.0
female,75,158.0,56.0,10.0,91.0,40.0,5.4,54.0
male,70,182.0,83.0,17.0,96.0,40.2,6.470588235294118,110.0
male,25,194.0,99.0,1.0,78.0,37.7,2.0,2.0
male,55,198.0,104.0,18.0,103.0,40.0,7.277777777777778,131.0
male,25,193.0,93.0,23.0,94.0,40.6,4.217391304347826,97.0
female,37,147.0,49.0,27.0,102.0,40.3,6.0,162.0
female,32,178.0,73.0,18.0,102.0,40.2,5.611111111111111,101.0
male,26,197.0,99.0,30.0,118.0,41.1,8.0,240.0
female,31,177.0,73.0,9.0,90.0,39.4,4.333333333333333,39.0
female,46,179.0,67.0,10.0,97.0,39.5,5.4,54.0
male,29,196.0,100.0,24.0,106.0,40.6,6.375,153.0
male,23,179.0,74.0,15.0,89.0,40.0,2.933333333333333,44.0
female,51,168.0,66.0,25.0,104.0,41.1,6.24,156.0
male,34,190.0,93.0,9.0,85.0,39.6,3.3333333333333335,30.0
male,22,187.0,84.0,26.0,99.0,40.6,4.615384615384615,120.0
male,42,190.0,95.0,26.0,104.0,41.1,6.576923076923077,171.0
female,34,176.0,75.0,23.0,99.0,41.1,5.260869565217392,121.0
female,60,148.0,52.0,11.0,84.0,39.7,4.454545454545454,49.0
female,57,161.0,61.0,27.0,108.0,40.8,6.851851851851852,185.0
male,45,185.0,87.0,24.0,107.0,40.8,7.0,168.0
female,70,161.0,63.0,13.0,85.0,39.9,4.615384615384615,60.0
female,34,144.0,50.0,7.0,83.0,39.3,3.857142857142857,27.0
